DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20170217,142,90,538,12,936,75.18701736049725,124.77822823282933,736.0347544066734
20221217,459,93,455,10,361,41.08179814705274,30.328876922137418,289.5893249308099
20190304,259,28,762,19,243,16.644919975540187,14.478930446713699,211.8761495777461
20231128,990,24,207,12,903,122.95272412148987,90.26639338922575,689.7808824892844
20181017,752,38,432,5,322,29.692149175196246,33.10698712187615,259.2008637029276
20231202,845,3,939,11,186,13.631863527057034,14.479221911156044,157.88891456178692
20140413,626,10,366,11,444,57.437415053143866,60.162288011726226,326.4002969351299
20181230,637,53,989,10,811,72.77449218548163,107.98244081058803,630.2430670039303
20141224,208,79,224,14,210,16.356509872033058,10.51378778135943,183.1297023466075
20220602,724,20,609,4,395,54.5798130457584,47.64626683879416,292.7739201154474
20190109,796,17,727,8,983,100.34485117117877,83.62943791287691,799.0257109159443
20230723,749,55,376,1,286,37.84966494204966,23.25094711745656,224.8993879404938
20141224,618,33,47,11,208,15.292219188513927,28.480454583930378,164.2273262275557
20201129,184,14,879,7,487,14.689965955340895,40.64357578317771,431.6664582614814
20150620,509,41,685,17,203,5.972844418747805,18.040358571146413,178.9867970101058
20170714,836,34,153,5,242,11.735094058291121,19.382277301382253,210.88262864032663
20211223,875,79,312,18,650,52.14553570752328,92.74105933863855,505.1134049538382
20170517,959,34,733,12,665,14.702897503404301,50.197001899810815,600.1001005967848
20240409,260,93,466,15,692,72.2879407337233,75.0342224157005,544.6778368505762
20240106,385,21,962,2,413,49.24615808319998,61.03006333531152,302.7237785814885
20240329,961,66,496,17,646,81.99886010025624,85.55531499112715,478.4458249086166
20150319,627,69,647,19,638,54.37942239210263,61.678277378322065,521.9423002295753
20180917,524,52,14,14,592,85.28712354880643,59.7710303997561,446.94184605143744
20190910,158,11,610,10,837,52.63653665950027,71.25270610836324,713.1107572321365
20221213,80,95,247,8,137,11.804172077937746,20.439023929137207,104.75680399292504
20170821,318,74,540,10,193,16.295987665578146,15.76294317555149,160.94106915887036
20170526,399,63,475,9,652,70.65885610021655,41.317682889483805,540.0234610102997
20200611,862,43,710,2,442,65.09731197140455,44.886703940637815,332.01598408795763
20220713,607,55,607,19,776,78.21572478208076,107.32995121879097,590.4543239991283
20200607,604,84,589,7,482,55.233611599572946,30.47205877254584,396.2943296278812
20230909,38,70,314,6,285,23.11689073342411,27.804881231314088,234.07822803526182
20160409,85,51,614,7,959,64.45197412392116,75.82934964572952,818.7186762303493
20160127,988,23,350,11,557,73.56461908824478,29.137739231358108,454.2976416803971
20230329,42,93,211,16,856,42.3443588562931,120.90238449419705,692.7532566495099
20181228,207,14,14,13,905,104.94319010584897,58.48993033370731,741.5668795604437
20200331,206,82,894,6,516,44.67471397830056,60.53070592435946,410.79458009734
20150819,215,12,189,19,917,86.51398109891548,80.52845049528871,749.9575684057959
20160726,650,96,480,2,945,44.349671970375766,88.31901125938535,812.3313167702389
20201030,492,37,683,3,217,25.028928453996283,21.090522319775637,170.88054922622808
20221210,671,38,142,9,610,61.45638603872901,58.28206551255448,490.2615484487165
20190427,596,52,81,18,869,70.48640393002883,91.07347273398003,707.4401233359911
20221014,544,70,636,15,194,26.101665163622854,24.261909882419115,143.63642495395803
20201008,338,37,703,16,830,55.986877015351915,91.88412608137206,682.1289969032761
20151222,549,69,292,14,321,10.396192279675207,17.280212581880992,293.3235951384438
20140921,730,89,655,19,606,18.346476458042567,40.882934643744846,546.7705888982126
20220723,882,61,926,4,982,104.17020340619212,94.88329900121241,782.9464975925955
20240102,533,49,754,5,243,34.164087875971816,15.82232643149552,193.01358569253267
20190112,275,45,125,14,491,64.0574963547859,46.2911097348742,380.6513939103399
20220904,938,20,510,20,240,22.859336867430617,14.650709303384009,202.48995382918537
20240707,204,79,798,19,806,68.1458579414714,83.0459360217083,654.8082060368204
20160906,38,37,418,2,812,74.80753213966518,53.20684713885412,683.9856207214807
20220505,329,5,913,7,103,6.165321509453261,14.024283216302596,82.81039527424414
20141114,928,99,808,2,624,52.11489621677413,41.63680357486375,530.2483002083621
20150112,199,89,307,7,551,29.91203670315383,49.3457920794117,471.7421712174345
20171222,45,78,372,10,642,93.51874136802115,34.348763889225154,514.1324947427537
20231229,599,5,931,6,181,26.898456768525122,20.512939604692416,133.58860362678246
20200216,970,52,604,14,376,21.44275533342274,40.88042668155743,313.67681798501985
20211121,596,16,576,3,967,69.50136599329032,138.81523990242567,758.6833941042839
20220813,719,53,720,1,252,22.6352950952227,37.130444120915584,192.2342607838617
20200210,789,16,594,17,402,49.6555961680922,23.01296462931129,329.33143920259647
20200517,307,35,792,8,303,10.444187762727944,17.70992131468424,274.84589092258784
20140814,175,6,195,14,331,45.24917168201776,20.08576737913826,265.66506093884396
20191122,929,61,950,8,853,70.63980599290524,101.7511475619271,680.6090464451677
20150129,885,54,686,7,1000,105.70285665094663,114.58867374757858,779.7084696014748
20181015,319,68,177,9,411,14.582238611734237,54.59062222429296,341.8271391639728
20150820,555,87,967,6,730,85.81821168586728,75.52578810521378,568.656000208919
20170920,678,36,623,9,576,80.21621181182653,62.4750559846794,433.30873220349406
20210827,891,96,682,18,456,39.694754587638116,29.42081796426329,386.88442744809856
20180111,963,77,248,1,611,63.45129308744421,40.271752302663586,507.2769546098922
20240417,219,12,401,10,636,56.36314842223553,45.486164318756536,534.1506872590079
20221001,942,38,470,19,176,16.960538250979944,15.302881469775286,143.73658027924478
20230124,781,18,76,4,924,104.89066882493763,89.28705151262282,729.8222796624395
20170501,345,27,146,15,897,88.60285796444863,108.7051673581573,699.691974677394
20240117,175,6,542,6,816,98.9835586484282,83.08858353423787,633.9278578173339
20160622,441,94,860,11,808,77.54605851431488,71.69649713442924,658.7574443512559
20221017,994,34,797,8,797,109.85833894735778,60.18480089947586,626.9568601531664
20141116,572,2,218,18,779,95.39016110631104,79.94103011167729,603.6688087820116
20150203,714,90,556,13,767,18.843972640903274,78.53472487600365,669.6213024830931
20180318,209,89,752,10,268,34.40572755827822,27.285596267698452,206.30867617402333
20160927,790,51,324,4,586,20.053056903909855,65.09333614089478,500.85360695519535
20150911,155,5,771,12,156,10.660371012816858,10.443315234475143,134.896313752708
20160615,333,89,39,7,151,13.434297962049278,11.206979914502094,126.35872212344863
20220330,941,64,503,19,790,93.69261148082697,102.87369814833735,593.4336903708356
20200318,706,68,339,4,170,10.769601343994678,18.311706295038057,140.91869236096727
20220926,156,26,287,14,636,71.34752544522,75.17755059775162,489.4749239570284
20191125,388,22,574,14,862,61.64746330966009,116.42092382409069,683.9316128662492
20140612,116,5,628,2,852,18.57119733402171,57.134360617280585,776.2944420486976
20240413,170,84,113,20,654,20.261946957698783,61.37587547603299,572.3621775662682
20141025,953,36,377,12,260,26.957867346352092,14.894684299858444,218.14744835378946
20170415,392,95,334,11,545,15.23980677400144,40.941343293988815,488.81884993200975
20160508,434,14,798,11,291,21.558159422185522,24.749044378420518,244.69279619939397
20210511,611,46,475,10,165,5.11097530932568,23.507111222640543,136.3819134680338
20201001,997,73,487,15,974,76.45262775137219,105.50609288472509,792.0412793639027
20240517,446,53,82,17,350,29.710423457290243,35.35592330193441,284.93365324077536
20140901,201,88,441,8,548,45.46423822443259,66.32583974999997,436.20992202556744
20161127,154,16,489,13,198,7.0391851201944915,15.41907953982135,175.54173533998414
20200426,669,35,992,12,447,21.96519086943484,26.533093142919522,398.50171598764564
20150625,155,8,151,2,221,8.282100984934964,23.703745621307238,189.0141533937578
20161230,460,47,378,17,508,58.172136449997744,70.33791284015793,379.4899507098443
